COM,PMUN,PCAP,PTOT
L' Abergement-Clémenciat,776,18,794
L' Abergement-de-Varey,248,1,249
Ambérieu-en-Bugey,14035,393,14428
Ambérieux-en-Dombes,1689,34,1723
Ambléon,111,6,117
Ambronay,2726,115,2841
Ambutrix,752,15,767
Andert-et-Condon,330,9,339
Anglefort,1115,17,1132
Apremont,376,11,387
Aranc,326,4,330
Arandas,144,4,148
Arbent,3367,92,3459
Arbigny,463,5,468
Arboys en Bugey,644,17,661
Argis,442,16,458
Armix,28,1,29
Ars-sur-Formans,1408,30,1438
Artemare,1237,18,1255
Arvière-en-Valromey,713,22,735
Asnières-sur-Saône,66,0,66
Attignat,3211,64,3275
Bâgé-Dommartin,4092,108,4200
Bâgé-le-Châtel,923,60,983
Balan,2684,57,2741
Baneins,602,9,611
Béard-Géovreissiat,1051,28,1079
Beaupont,689,8,697
Beauregard,866,14,880
Béligneux,3333,29,3362
Belley,9103,396,9499
Belleydoux,314,8,322
Bellignat,3624,235,3859
Bénonces,298,4,302
Bény,756,21,777
Béon,454,8,462
Béréziat,496,5,501
Bettant,748,21,769
Bey,279,14,293
Beynost,4613,108,4721
Billiat,622,15,637
Birieux,283,4,287
Biziat,876,9,885
Blyes,1007,25,1032
Bohas-Meyriat-Rignat,913,21,934
La Boisse,3229,38,3267
Boissey,336,6,342
Bolozon,89,1,90
Bouligneux,328,6,334
Bourg-en-Bresse,41527,1779,43306
Bourg-Saint-Christophe,1366,29,1395
Boyeux-Saint-Jérôme,346,5,351
Boz,512,7,519
Brégnier-Cordon,839,13,852
Brénod,509,21,530
Brens,1166,27,1193
Bresse Vallons,2282,45,2327
Bressolles,911,20,931
Brion,521,7,528
Briord,1016,10,1026
Buellas,1782,63,1845
La Burbanche,77,1,78
Ceignes,254,13,267
Cerdon,783,14,797
Certines,1517,40,1557
Cessy,4856,116,4972
Ceyzériat,3157,61,3218
Ceyzérieu,1007,26,1033
Chalamont,2451,33,2484
Chaleins,1342,34,1376
Chaley,130,3,133
Challes-la-Montagne,194,3,197
Challex,1481,17,1498
Champagne-en-Valromey,820,31,851
Champdor-Corcelles,651,14,665
Champfromier,729,21,750
Chanay,625,14,639
Chaneins,910,15,925
Chanoz-Châtenay,844,17,861
La Chapelle-du-Châtelard,388,5,393
Charix,285,10,295
Charnoz-sur-Ain,913,27,940
Château-Gaillard,2138,49,2187
Châtenay,341,4,345
Châtillon-la-Palud,1584,68,1652
Châtillon-sur-Chalaronne,4859,201,5060
Chavannes-sur-Reyssouze,753,12,765
Chaveyriat,1008,29,1037
Chazey-Bons,1112,36,1148
Chazey-sur-Ain,1514,37,1551
Cheignieu-la-Balme,134,4,138
Chevillard,151,9,160
Chevroux,952,15,967
Chevry,1812,40,1852
Chézery-Forens,467,11,478
Civrieux,1680,56,1736
Cize,173,8,181
Cleyzieu,136,4,140
Coligny,1181,25,1206
Collonges,2219,46,2265
Colomieu,140,2,142
Conand,124,1,125
Condamine,411,37,448
Condeissiat,822,13,835
Confort,648,12,660
Confrançon,1336,29,1365
Contrevoz,499,11,510
Conzieu,148,2,150
Corbonod,1264,33,1297
Corlier,114,1,115
Cormoranche-sur-Saône,1138,37,1175
Cormoz,664,15,679
Corveissiat,621,13,634
Courmangoux,507,9,516
Courtes,313,2,315
Crans,266,4,270
Cressin-Rochefort,392,11,403
Crottet,1734,43,1777
Crozet,2138,63,2201
Cruzilles-lès-Mépillat,868,20,888
Culoz,3035,47,3082
Curciat-Dongalon,440,5,445
Curtafond,770,19,789
Cuzieu,448,15,463
Dagneux,4717,55,4772
Divonne-les-Bains,9644,234,9878
Dompierre-sur-Chalaronne,435,10,445
Dompierre-sur-Veyle,1166,21,1187
Domsure,486,3,489
Dortan,1846,44,1890
Douvres,1041,26,1067
Drom,216,5,221
Druillat,1159,19,1178
Échallon,757,20,777
Échenevex,2132,73,2205
Évosges,145,2,147
Faramans,806,12,818
Fareins,2204,42,2246
Farges,1038,11,1049
Feillens,3291,69,3360
Ferney-Voltaire,9766,162,9928
Flaxieu,68,3,71
Foissiat,2085,39,2124
Francheleins,1611,32,1643
Frans,2351,56,2407
Garnerans,647,25,672
Genouilleux,612,20,632
Géovreisset,874,43,917
Gex,13118,257,13375
Giron,183,4,187
Gorrevod,835,25,860
Grand-Corent,177,6,183
Grièges,1876,52,1928
Grilly,833,20,853
Groissiat,1229,52,1281
Groslée-Saint-Benoit,1193,36,1229
Guéreins,1452,25,1477
Haut Valromey,669,22,691
Hautecourt-Romanèche,777,20,797
Illiat,627,17,644
Injoux-Génissiat,1136,26,1162
Innimond,89,3,92
Izenave,156,4,160
Izernore,2247,62,2309
Izieu,235,7,242
Jassans-Riottier,6339,119,6458
Jasseron,1755,52,1807
Jayat,1182,12,1194
Journans,355,14,369
Joyeux,271,3,274
Jujurieux,2156,44,2200
Labalme,210,2,212
Lagnieu,7143,146,7289
Laiz,1212,39,1251
Lantenay,277,6,283
Lapeyrouse,316,12,328
Lavours,124,6,130
Léaz,739,15,754
Lélex,227,4,231
Lent,1405,34,1439
Lescheroux,735,8,743
Leyment,1303,29,1332
Leyssard,152,4,156
Lhuis,889,21,910
Lompnas,168,3,171
Loyettes,3146,30,3176
Lurcy,384,9,393
Magnieu,644,13,657
Maillat,635,13,648
Malafretaz,1216,24,1240
Mantenay-Montlin,313,7,320
Manziat,1963,49,2012
Marboz,2244,47,2291
Marchamp,131,3,134
Marignieu,172,3,175
Marlieux,1112,95,1207
Marsonnas,991,28,1019
Martignat,1654,66,1720
Massieux,2590,60,2650
Massignieu-de-Rives,614,14,628
Matafelon-Granges,641,17,658
Meillonnas,1335,33,1368
Mérignat,130,4,134
Messimy-sur-Saône,1224,32,1256
Meximieux,7743,128,7871
Mézériat,2172,37,2209
Mijoux,341,12,353
Mionnay,2100,47,2147
Miribel,9963,112,10075
Misérieux,1941,254,2195
Mogneneins,778,23,801
Montagnat,1992,48,2040
Montagnieu,622,12,634
Montanges,344,10,354
Montceaux,1195,36,1231
Montcet,691,15,706
Le Montellier,297,8,305
Monthieux,646,23,669
Montluel,6964,84,7048
Montmerle-sur-Saône,3793,66,3859
Montracol,1040,20,1060
Montréal-la-Cluse,3435,70,3505
Montrevel-en-Bresse,2489,42,2531
Murs-et-Gélignieux,252,4,256
Nantua,3446,138,3584
Neuville-les-Dames,1510,21,1531
Neuville-sur-Ain,1756,28,1784
Les Neyrolles,639,15,654
Neyron,2527,49,2576
Niévroz,1619,27,1646
